T_{0} (Days),1630.8614027811377+0.00024389931195401005-0.0002391564705703786
R_{p}/R_{*},0.12147588016957986+0.0003907017476803415-0.0003824931670753512
Orbital Period (Days),3.7354848561896956+1.623991410237835e-06-1.6612844722097009e-06
Orbital Inclination (Deg),87.42096806870872+0.3995554192736961-0.48575816676900274
Semi-major axis (a/Rs),7.16077405519621+0.11950623348097089-0.1293468212601674
