$T_{0}$ (Days),2670.424240414244+0.0009111525591833924-0.0009660416849328612
$R_{p}/R_{*}$,0.07306532007161234+0.0021975191049636578-0.0033029547894187633
Orbital Period (Days),4.234382246731104+0.0003583299477680768-0.00036812641765671117
Orbital Inclination (Deg),87.27436014049297+1.8225302393156682-1.8125310684934135
Semi-major axis ($a/R_{*}$),11.522741199854803+1.9250213557732856-1.4708876730177547
$\sigma$,0.00016747608914169756+3.347133286363187e-05-3.08308874884004e-05
$\rho$,0.11655518986486084+0.04546771972238234-0.1978610062710902
