T_{0} (Days),2702.3958280468732+0.0003802338083005452-0.0003744840887520695
R_{p}/R_{*},0.13826102417011882+0.000977795526345776-0.0012769944086795382
Orbital Period (Days),4.054841158366964+0.00020227989895715837-0.000199843692601398
Orbital Inclination (Deg),88.82259859743672+0.6088248241295702-0.7190564102046295
Semi-major axis (a/Rs),12.397144383184953+0.48685311479972526-0.3474918682763839
