$T_{0}$ (Days),2702.3954105707844+0.001019999724576337-0.0007919469539956481
$R_{p}/R_{*}$,0.13087834431857912+0.0007057848388865307-0.00941218799996707
Orbital Period (Days),3.9334690248405098+0.002776774554328121-0.12140287566650709
Orbital Inclination (Deg),86.62597771827384+0.209654739574205-2.1875933950519197
Semi-major axis ($a/R_{*}$),10.18103369055187+0.14556415360366515-2.133053660156513
$\sigma$,0.0035598962222914703+0.0025998148587990993-0.00035696936021449273
$\rho$,0.06629759180456213+0.0067395670582598224-0.8731817148872834
