$T_{0}$ (Days),2670.4243008981193+0.0009487786851423152-0.001069158505742962
$R_{p}/R_{*}$,0.07244449268133046+0.001908600583445233-0.0029609770663609203
Orbital Period (Days),4.234398921540782+0.0003506192910958106-0.00035045595582428035
Orbital Inclination (Deg),86.61468613701854+2.697927427252722-2.219761870450469
Semi-major axis ($a/R_{*}$),9.9454135591439+1.556948307164463-2.0757803336301706
Eccentricity ($e$),0.27862766547091944+0.18181888520338405-0.15388126878029074
