$T_{0}$ (Days),1630.8614881350509+0.00026684631575335516-0.00026579755922284676
$R_{p}/R_{*}$,0.12217592094892667+0.0005177504782353098-0.0005317829957894732
$P$ (Days),3.735484553218816+1.8350957664559076e-06-1.8212077685930694e-06
$i$ (Deg),87.30852050543098+0.39644874320137546-0.4469813438977468
$a/R_{*}$,7.115132869990389+0.12153948281163807-0.12358911715488485
$\sigma$,0.0005494388244872845+3.614024204079663e-05-4.187734099572282e-05
$\rho$,0.19517484193733126+0.023188086236041294-0.028625740174133413
