T_{0} (Days),1630.8616428840369+0.00039904889376884967-0.0003824569294010871
R_{p}/R_{*},0.1203829698708299+0.00046385548844797564-0.0005758250702308232
Orbital Period (Days),3.7353984634338695+0.00012925396875784756-0.00012634649674092557
Orbital Inclination (Deg),88.39568159446347+0.8557190483726771-0.9860796186917042
Semi-major axis (a/Rs),7.39832492366634+0.20282872618265113-0.13350520175139824
