T_{0} (Days),1630.8614018713324+0.00023805651130714978-0.00024264748935820535
R_{p}/R_{*},0.12130714805888419+0.000404658423926868-0.00039279328929267554
Orbital Period (Days),3.735484831616331+1.623155356789141e-06-1.6617033691268546e-06
Orbital Inclination (Deg),87.54069213161702+0.43098898185745327-0.5140042763440249
Semi-major axis (a/Rs),7.190146553234434+0.12385182418808682-0.1285981478189422
