$T_{0}$ (Days),2883.6177900335633+0.00011862964129250031-0.00011805953499788302
$R_{p}/R_{*}$,0.1495977792227567+0.00020492931499896394-0.00020731215967234595
$P$ (Days),2.149984832035263+1.7009606594342586e-05-1.6921524499391438e-05
$i$ (Deg),89.51307084813853+0.4541524196908284-0.3370493666963341
$a/R_{*}$,6.0277563430964864+0.03765612820454667-0.03502487609258775
$e$,0.015686429867747265+0.008247418786619793-0.008815838581999996
$\sigma$,0.0007847154829236353+8.913560839518921e-05-0.00011703217303359265
$\rho$,0.5295657120072492+0.06476360063362813-0.0813420768575761
