Time (BTJD),Normalised flux,batman model,GP model
2665.276621666103,1.0008752,1.0,-0.00010918129111059383
2665.2780106009227,0.99939626,1.0,-0.00011007941797380738
2665.2793995357433,0.9992725,1.0,-0.00011096845814329015
2665.2807884705635,1.004372,1.0,-0.00011184752510073892
2665.2821774058493,1.0007608,1.0,-0.00011271562402703772
2665.2835663406704,0.9995693,1.0,-0.00011357074581352933
2665.2849552754915,0.998202,1.0,-0.0001144104371813004
2665.2863442103117,0.9967766,1.0,-0.00011523232630772373
2665.2877331451323,0.99803406,1.0,-0.00011603456153030933
2665.2891220799524,1.000314,1.0,-0.00011681612637481908
2665.290511014773,1.0003283,1.0,-0.00011757651715627038
2665.2918999495932,1.0020473,1.0,-0.00011831517628579924
2665.2932888844134,0.9995898,1.0,-0.00011903127097079302
2665.294677819234,0.99924654,1.0,-0.00011972345149913188
2665.29606675452,0.99895835,1.0,-0.00012039030930788286
2665.297455688875,1.00009,1.0,-0.00012103059833401542
2665.298844623695,1.0003251,1.0,-0.00012164325569197221
2665.300233558515,0.99780667,1.0,-0.00012222715481524649
2665.3016224933353,0.9976308,1.0,-0.00012278112983143963
2665.303011428156,0.9949935,1.0,-0.00012330451972364376
2665.3044003629766,0.9995807,1.0,-0.00012379748720992012
2665.3057892977968,1.0004979,1.0,-0.00012426135292309404
2665.307178232617,0.99862385,1.0,-0.0001246976897842922
2665.308567167437,0.9983251,1.0,-0.00012510797645182148
2665.309956101792,1.0017511,1.0,-0.00012549397250183336
2665.3113450366122,0.9998596,1.0,-0.0001258577006909567
2665.312733971433,0.9982645,1.0,-0.0001262008212611354
2665.314122906254,1.0007277,1.0,-0.00012652494557419125
2665.315511841075,1.000017,1.0,-0.00012683195337237496
2665.3169007754295,0.99848235,1.0,-0.0001271235835675899
2665.3182897102497,1.0001516,1.0,-0.00012740153968138213
2665.31967864507,0.99795485,1.0,-0.0001276677722163999
2665.3210675794244,1.0020158,1.0,-0.00012792432016062172
2665.3224565142436,0.99992764,1.0,-0.00012817347929849898
2665.323845449064,0.99885666,1.0,-0.00012841715311584512
2665.325234383419,1.0029308,1.0,-0.00012865714582666055
2665.326623318239,1.0005927,1.0,-0.00012889528902637615
2665.328012252594,1.0004741,1.0,-0.00012913274240877737
2665.329401187414,1.0004014,1.0,-0.00012937028791393246
2665.3307901217686,1.0009527,1.0,-0.00012960848639165246
2665.332179056589,0.9975381,1.0,-0.0001298476708841978
2665.3335679909437,0.9992651,1.0,-0.0001300880161672069
2665.3349569257643,1.0008824,1.0,-0.0001303301590135364
2665.336345860119,1.0004839,1.0,-0.00013057491936308008
2665.337734794939,0.9986016,1.0,-0.0001308228773710951
2665.3391237292935,1.0027972,1.0,-0.0001310744739865255
2665.340512664114,0.99997854,1.0,-0.0001313302154760665
