Time (BTJD),Normalised flux,batman model,GP model
2692.9591837111434,1.0026319,1.0,-0.00041548658135914796
2692.9605726003288,1.000324,1.0,-0.00041545463240222347
2692.961961489049,1.0007342,1.0,-0.0004154214677769552
2692.963350378234,1.0020903,1.0,-0.0004153870701359974
2692.9647392669526,0.99770105,1.0,-0.00041535141760340455
2692.966128155673,0.99928004,1.0,-0.0004153144828695776
2692.967517044858,1.0025119,1.0,-0.00041527624171466826
2692.9689059335783,1.002422,1.0,-0.00041523667005438636
2692.9702948227637,0.99687886,1.0,-0.00041519573549986255
2692.9716837114834,0.9986055,1.0,-0.00041515339902042925
2692.9730726006687,1.0031476,1.0,-0.0004151096267039911
2692.974461489389,0.99855447,1.0,-0.0004150643864626602
2692.9758503785747,0.99521726,1.0,-0.00041501763909490563
2692.9772392672935,0.99758226,1.0,-0.00041496934830353993
2692.9786281564784,0.99697465,1.0,-0.00041491948951921653
2692.9800170451986,0.9965011,1.0,-0.0004148680468473165
2692.981405934384,1.0023446,1.0,-0.0004148150132265993
2692.9827948231036,0.99785054,1.0,-0.0004147603886510698
2692.9841837118233,1.002422,1.0,-0.0004147041694989584
2692.985572601009,0.9997865,1.0,-0.00041464635291055263
2692.986961489729,0.99933517,1.0,-0.0004145869304723604
2692.9883503789147,1.0004967,1.0,-0.00041452589174240106
2692.9897392676335,0.99818873,1.0,-0.00041446322628568844
2692.991128156819,0.9986935,1.0,-0.00041439892243533283
2692.9925170455385,1.0014396,1.0,-0.00041433297176562967
2692.993905934724,0.9985189,1.0,-0.00041426536752797727
2692.9952948234436,1.0001694,1.0,-0.00041419609995851925
2692.9966837126294,1.0000869,1.0,-0.0004141251602306495
2692.998072601349,0.99775064,1.0,-0.0004140525385982752
2692.999461490534,0.99528,1.0,-0.00041397822478250745
2693.0008503792533,1.0016919,1.0,-0.00041390221489268075
2693.002239268438,0.9976963,1.0,-0.00041382451451044133
2693.003628157157,1.0024562,1.0,-0.0004137451280583626
2693.005017046343,0.99956423,1.0,-0.0004136640612950604
2693.006405935063,0.99994284,1.0,-0.0004135813147025935
2693.0077948242483,1.0014718,1.0,-0.00041349688687908337
2693.009183712968,1.0006717,1.0,-0.00041341077467937914
2693.0105726021534,0.9999446,1.0,-0.00041332296979967875
2693.0119614908735,0.9971406,1.0,-0.00041323346035981867
2693.013350380059,0.9967121,1.0,-0.0004131422343094382
2693.014739268778,0.9992376,1.0,-0.00041304928657448503
2693.016128157963,0.999904,1.0,-0.0004129546199177492
2693.017517046683,0.9979343,1.0,-0.0004128582394200553
2693.0189059358686,1.0057098,1.0,-0.0004127601504304579
2693.020294825054,1.0017151,1.0,-0.00041266035848597227
2693.0216837137737,0.9975536,1.0,-0.00041255885527835545
2693.0230726029595,0.9986705,1.0,-0.0004124556253989331
2693.024461491679,0.996772,1.0,-0.0004123506574007507
2693.025850380865,0.9996195,1.0,-0.0004122439444046444
2693.0272392695847,1.0039537,1.0,-0.0004121354863875215
2693.028628158769,0.9965417,1.0,-0.0004120252822525927
2693.030017047489,0.9993032,1.0,-0.00041191332307100037
2693.031405936674,0.99792993,1.0,-0.0004117996042222183
2693.032794825394,0.9982656,1.0,-0.0004116841244455882
2693.0341837145797,1.0003064,1.0,-0.00041156688685339837
2693.035572603765,1.0014269,1.0,-0.00041144789809322013
2693.0369614924853,0.9987255,1.0,-0.00041132716294478566
2693.0383503816706,0.9996407,1.0,-0.00041120468209798755
2693.0397392703903,1.0028039,1.0,-0.0004110804572503568
2693.0411281595752,1.0048335,1.0,-0.000410954488524351
2693.0425170482945,0.99749535,1.0,-0.00041082676627379744
2693.043905937479,0.9974858,1.0,-0.00041069726859666034
2693.0452948266643,0.9947211,1.0,-0.0004105659765712977
2693.046683715384,1.0010152,1.0,-0.00041043287965980557
2693.0480726045694,1.0023158,1.0,-0.0004102979781696048
2693.0494614932895,0.9979194,1.0,-0.0004101612706419733
2693.050850382475,0.9965939,1.0,-0.00041002274962631535
2693.052239271195,1.0011371,1.0,-0.00040988241162265293
2693.0536281603795,1.0024967,1.0,-0.0004097402595201194
2693.0550170495644,1.0001032,1.0,-0.0004095962930397157
2693.0564059382846,0.99846417,1.0,-0.00040945050448759623
2693.05779482747,0.9980887,1.0,-0.00040930288393858927
2693.0591837161896,0.99631447,1.0,-0.00040915342462133353
2693.060572605375,0.997404,1.0,-0.0004090021251746956
2693.061961494561,0.9995657,1.0,-0.0004088489934378492
2693.063350383281,0.99668115,1.0,-0.000408694043735669
2693.0647392724663,0.9966995,1.0,-0.0004085372930257014
2693.066128161651,0.99779093,1.0,-0.00040837876623822655
2693.0675170503705,0.9946146,1.0,-0.0004082184970550795
2693.068905939556,0.99887866,1.0,-0.0004080565270756509
2693.0702948282756,1.0018665,1.0,-0.0004078929101396511
2693.071683717461,0.99767643,1.0,-0.0004077277028340376
2693.0730726066467,1.0016825,1.0,-0.00040756095844696194
2693.074461495367,1.0004755,1.0,-0.00040739273203072024
2693.0758503845523,1.0012832,1.0,-0.0004072230745548744
2693.0772392737376,1.0001781,1.0,-0.00040705203325475114
2693.0786281624573,0.9951119,1.0,-0.0004068796509677508
2693.0800170516427,0.9990416,1.0,-0.00040670597059200286
2693.081405940827,1.0017542,1.0,-0.0004065310447263215
2693.082794829547,1.0003049,1.0,-0.0004063549283717105
2693.0841837187327,0.999777,1.0,-0.00040617767167938634
2693.085572607918,1.0010217,1.0,-0.00040599932221352386
2693.086961496638,0.99968773,1.0,-0.00040581992600952077
2693.0883503858227,1.0019851,1.0,-0.0004056395257441281
2693.089739275008,1.0007851,1.0,-0.00040545816205517227
2693.0911281637277,1.0006626,1.0,-0.0004052758698442904
2693.092517052912,0.99905217,1.0,-0.00040509267947974603
2693.0939059420975,0.9980405,1.0,-0.00040490861891750995
2693.0952948308172,0.9979518,1.0,-0.0004047237175036633
2693.0966837200026,0.99977374,1.0,-0.0004045380088084638
2693.098072609188,0.9993678,1.0,-0.00040435153076523456
2693.099461498374,0.9993027,1.0,-0.00040416432184542384
2693.1008503870935,1.0021874,1.0,-0.00040397642111611454
2693.1022392762793,0.99632573,1.0,-0.0004037878668265993
2693.1036281654647,0.9939772,1.0,-0.00040359869383976843
2693.105017054184,0.99929154,1.0,-0.0004034089454507672
2693.106405943369,1.0028889,1.0,-0.00040321867839065995
2693.107794832554,1.0009446,1.0,-0.0004030279514435353
2693.1091837217396,0.9970562,1.0,-0.0004028368159069151
2693.1105726104597,1.0007421,1.0,-0.00040264531993527974
2693.111961499645,1.0026835,1.0,-0.0004024535154802944
2693.113350388831,0.9996082,1.0,-0.0004022614520227119
2693.1147392775506,1.0024554,1.0,-0.000402069172028896
2693.116128166736,0.99582046,1.0,-0.0004018767146546365
2693.117517055921,1.0024146,1.0,-0.00040168411527463643
2693.118905945106,0.99679327,1.0,-0.0004014914140855197
2693.1202948338255,1.0016866,1.0,-0.0004012986489263515
2693.1216837230113,1.0023122,1.0,-0.00040110586070085663
2693.1230726121967,1.0031607,1.0,-0.0004009130862442367
2693.1244615013825,1.0020226,1.0,-0.0004007203537991222
2693.125850390568,1.000189,1.0,-0.000400527681609808
2693.1272392792876,1.0011702,1.0,-0.0004003350808486905
2693.128628168473,1.0015905,1.0,-0.00040014255921849706
2693.1300170576583,0.9988452,1.0,-0.00039995012004767627
2693.1314059468427,1.0006559,1.0,-0.0003997577620790116
