Time (BTJD),Normalised flux,batman model,GP model
1628.9527366213874,0.9914634,1.0,-0.0050612013954588475
1628.9541255101508,0.9958379,1.0,-0.00506581220821678
1628.955514398915,0.9909146,1.0,-0.005069760458805916
1628.9569032876798,0.99025726,1.0,-0.0050730305106443385
1628.9582921764436,0.9940574,1.0,-0.005075607908814006
1628.959681065207,0.99572426,1.0,-0.005077479659747475
1628.961069953971,0.9914251,1.0,-0.005078632995231702
1628.962458842735,0.9934266,1.0,-0.005079054899691071
1628.9638477314988,0.9908501,1.0,-0.005078733133649149
1628.9652366207288,0.9930164,1.0,-0.005077656143087084
1628.9666255094926,0.9953027,1.0,-0.00507581352568276
1628.9680143982569,0.9902837,1.0,-0.00507319538909301
1628.9694032870202,0.98903525,1.0,-0.005069791871851637
1628.9707921757836,0.99170357,1.0,-0.005065594591464939
1628.9721810645483,0.99144536,1.0,-0.005060597205984063
1628.973569953312,0.994815,1.0,-0.005054794714973498
1628.9749588420755,0.99464977,1.0,-0.005048183078994906
1628.9763477308397,0.9920158,1.0,-0.00504075822536143
1628.9777366191379,0.99252886,1.0,-0.005032516047628777
1628.9791255079017,0.99377066,1.0,-0.005023453174095804
1628.980514396666,0.9933513,1.0,-0.005013566935611946
1628.9819032854298,0.99114656,1.0,-0.005002854972389503
1628.983292174194,0.9928081,1.0,-0.004991315442841926
1628.9846810629574,0.99394935,1.0,-0.004978947608931139
1628.9860699517208,0.991386,1.0,-0.004965751414337305
1628.9874588404855,0.9934714,1.0,-0.004951727210657508
1628.9888477292502,0.9931679,1.0,-0.004936876301427695
1628.9902366180136,0.99218106,1.0,-0.004921200530724534
1628.991625506777,0.9912298,1.0,-0.004904702299942887
1628.9930143955407,0.9938659,1.0,-0.004887384974698539
1628.9944032843055,0.9946027,1.0,-0.004869253061164924
1628.9957921730695,0.991944,1.0,-0.004850311424232867
1628.998569950597,0.9942375,1.0,-0.004810019684944877
1628.9999588393607,0.9944495,1.0,-0.004788680899621145
1629.001347728124,0.9921875,1.0,-0.004766554356720132
1629.0027366168883,0.98899317,1.0,-0.004743645886483572
1629.004125505653,0.9932527,1.0,-0.0047199624485281255
1629.0055143939512,0.99214256,1.0,-0.004695512983642014
1629.0069032827146,0.98910797,1.0,-0.004670307414931796
1629.008292171478,0.9910654,1.0,-0.004644356961640894
1629.0096810602427,0.9947991,1.0,-0.004617674993317111
1629.0110699490074,0.99582124,1.0,-0.004590276398438342
1629.0124588377707,0.9959264,1.0,-0.004562176220242575
1629.013847726534,0.9926542,1.0,-0.00453338906337275
1629.015236615298,0.9967266,1.0,-0.0045039292529157615
1629.0166255040622,0.9956651,1.0,-0.004473811539589478
1629.018014392826,0.9968829,1.0,-0.004443050197045162
1629.0194032811246,0.99392873,1.0,-0.004411658970624233
1629.0207921698884,0.9977237,1.0,-0.0043796509882644274
1629.0221810586527,0.99601185,1.0,-0.004347039368561401
1629.023569947416,0.9930938,1.0,-0.0043138363862510465
1629.0249588361794,0.992882,1.0,-0.004280053963652164
1629.0263477249441,0.99569535,1.0,-0.0042457047426456285
1629.0277366137088,0.9925465,1.0,-0.004210802178939321
1629.029125502472,0.99369437,1.0,-0.004175359951816615
1629.0305143907694,0.99369377,1.0,-0.004139392667884101
1629.0319032795337,0.9950824,1.0,-0.004102915722236311
1629.0332921682984,0.9956078,1.0,-0.004065945195905085
1629.0346810570622,0.99725366,1.0,-0.004028497359162997
1629.0360699458256,0.99586135,1.0,-0.003990588308335874
1629.0374588345899,0.99506396,1.0,-0.003952233545322592
1629.0388477233537,0.99219996,1.0,-0.003913448367516392
1629.0402366116514,0.99426,1.0,-0.003874248483343945
1629.0416255004156,0.99628186,1.0,-0.0038346507767279547
1629.0430143891804,0.9953878,1.0,-0.0037946728347370007
1629.0444032779442,0.9982736,1.0,-0.0037543321998871892
1629.0457921667075,0.99410015,1.0,-0.003713646304650986
1629.0471810550052,0.9955159,1.0,-0.003672632007153731
1629.04856994377,0.9953561,1.0,-0.0036313065259850896
1629.0499588325347,0.9956216,1.0,-0.003589687444016998
1629.051347721298,0.9949057,1.0,-0.0035477925980483827
1629.0527366100614,0.99728274,1.0,-0.003505640103694807
1629.0541254983596,0.99641854,1.0,-0.003463248413244857
