Parameter,A,B,C,D
T_0,1630.8616428840369+0.00039904889376884967-0.0003824569294010871,1630.8614018713324+0.00023805651130714978-0.00024264748935820535,1630.861610663565+0.00029717062670897576-0.0002908106357608631,1630.8614881350509+0.00026684631575335516-0.00026579755922284676
RpRs,0.1203829698708299+0.00046385548844797564-0.0005758250702308232,0.12130714805888419+0.000404658423926868-0.00039279328929267554,0.12132331355382717+0.0009057218589828414-0.0009405511105848724,0.12217592094892667+0.0005177504782353098-0.0005317829957894732
P,3.7353984634338695+0.00012925396875784756-0.00012634649674092557,3.735484831616331+0.0000006232-0.0000016617,3.735457546163345+0.00005353-0.00006277,3.735484553218816+0.0000018351-0.0000018212
i,88.39568159446347+0.8557190483726771-0.9860796186917042,87.54069213161702+0.43098898185745327-0.5140042763440249,88.05242038422188+0.8237098425502438-1.0511485587420992,87.30852050543098+0.39644874320137546-0.4469813438977468
a/R*,7.39832492366634+0.20282872618265113-0.13350520175139824,7.190146553234434+0.12385182418808682-0.1285981478189422,7.309401355606358+0.21775645687941125-0.18176546546827677,7.115132869990389+0.12153948281163807-0.12358911715488485
sigma,---,---,0.0008084652860793481+0.00007816-0.00010340527501546308,0.0005494388244872845+0.00003614-0.00004188
rho,---,---,0.19044211595490584+0.027793919426255725-0.034964911832951306,0.19517484193733126+0.023188086236041294-0.028625740174133413
colour,"(0.254627, 0.013882, 0.615419, 1.0)","(0.562738, 0.051545, 0.641509, 1.0)","(0.798216, 0.280197, 0.469538, 1.0)","(0.949217, 0.517763, 0.295662, 1.0)"
