$T_{0}$ (Days),2670.424173554393+0.0008781483138591284-0.0009296995576733025
$R_{p}/R_{*}$,0.0727840928103202+0.001963566097598249-0.0026795606319987564
Orbital Period (Days),4.2343900775565935+0.000354263518044462-0.00034790771483450555
Orbital Inclination (Deg),87.41595086559371+1.5393319612684024-1.7007207030691802
Semi-major axis ($a/R_{*}$),11.592504364704151+1.5751304667490036-1.3971207574396054
Eccentricity $e$,0.12116828485016282+0.05722449180824006-0.05730449801913895
$\sigma$,0.00016801101926346246+3.398726165205091e-05-3.3975582782517014e-05
$\rho$,0.11912357198489529+0.047907160668278936-0.240630112168655
