$T_{0}$ (Days),2670.424555661028+0.0010174591202485317-0.001116700451802899
$R_{p}/R_{*}$,0.07203268080138756+0.001642643091929727-0.0023328247019413356
Orbital Period (Days),4.234401038203406+0.000339973280798489-0.00034530003011568056
Orbital Inclination (Deg),85.11235035512799+3.1574842291492047-3.2926075818156164
Semi-major axis ($a/R_{*}$),8.676943125271492+1.073724795566072-0.7756359703268565
Eccentricity ($e$),0.47795107019571076+0.031878252382848526-0.01618580663982727
