$T_{0}$ (Days),2670.4240495027298+0.0008772980499998084-0.0008954686886681884
$R_{p}/R_{*}$,0.07211289153152214+0.0017004124313230173-0.002635574456182288
Orbital Period (Days),4.234413544891577+0.0003463806668353442-0.00035204035776459364
Orbital Inclination (Deg),87.617153705798+1.5858069892373265-1.6056846596846412
Semi-major axis ($a/R_{*}$),11.794005659929677+1.6040941434041454-1.3036482924191528
Eccentricity ($e$),0.12330179032857119+0.05599432149530259-0.057865011226248764
